,Unnamed: 0,iata_code,name,coordinates,iso_region,average_wait,max_wait,min_wait,obs_count
55,9411,WDN,Waldronaire Airport,"-123.017997742, 48.7117996216",US-WA,na,na,na,na
56,9643,WWP,North Whale Seaplane Base,"-133.121994019, 56.1162986755",US-AK,na,na,na,na
57,9786,CHU,Chuathbaluk Airport,"-159.216003, 61.579102",US-AK,na,na,na,na
58,9787,UGS,Ugashik Airport,"-157.399002075, 57.5279006958",US-AK,na,na,na,na
59,10003,PSQ,Philadelphia Seaplane Base,"-75.299598693848, 39.859001159668",US-PA,na,na,na,na
60,10244,KLL,Levelock Airport,"-156.85899353, 59.128101348899996",US-AK,na,na,na,na
61,10248,SGW,Saginaw Seaplane Base,"-134.158004761, 56.8862991333",US-AK,na,na,na,na
62,10256,WTL,Tuntutuliak Airport,"-162.667007446, 60.3353004456",US-AK,na,na,na,na
63,10257,TWA,Twin Hills Airport,"-160.27299499512, 59.07559967041",US-AK,na,na,na,na
64,10263,KCQ,Chignik Lake Airport,"-158.774993896, 56.2550010681",US-AK,na,na,na,na
65,10386,AHT,Amchitka Army Airfield,"179.259166667, 51.3777777778",US-AK,na,na,na,na
66,10405,CEX,Chena Hot Springs Airport,"-146.04699707, 65.0518035889",US-AK,na,na,na,na
67,10416,SOL,Solomon State Field,"-164.4457, 64.5605",US-AK,na,na,na,na
68,10423,HED,Herendeen Bay Airport,"-160.899002075, 55.801399231",US-AK,na,na,na,na
69,10439,TWE,Taylor Airport,"-164.798995972, 65.6792984009",US-AK,na,na,na,na
70,10447,KTH,Tikchik Lodge Seaplane Base,"-158.477005005, 59.9631996155",US-AK,na,na,na,na
71,10453,NKI,Naukati Bay Seaplane Base,"-133.227994, 55.849602",US-AK,na,na,na,na
72,10461,LNI,Lonely Air Station,"-153.2420044, 70.91069794",US-AK,na,na,na,na
73,10465,CDL,Candle 2 Airport,"-161.925994873, 65.907699585",US-AK,na,na,na,na
74,10471,AOS,Amook Bay Seaplane Base,"-153.815002441, 57.4715003967",US-AK,na,na,na,na
75,10486,BSZ,Bartletts Airport,"-157.352005005, 58.2162017822",US-AK,na,na,na,na
76,10487,BSW,Boswell Bay Airport,"-146.145996094, 60.4230995178",US-AK,na,na,na,na
77,10566,TGE,Sharpe Field,"-85.7755966187, 32.4919013977",US-AL,na,na,na,na
78,10593,ALZ,Alitak Seaplane Base,"-154.248001099, 56.8995018005",US-AK,na,na,na,na
79,10678,AQY,Girdwood Airport,"-149.126007, 60.966099",US-AK,na,na,na,na
80,11392,ARX,Asbury Park Neptune Air Terminal,"-74.0908333333, 40.2193055556",US-NJ,na,na,na,na
81,11560,AUS,Austin Robert Mueller Municipal,"-97.6997852325, 30.2987223546",US-TX,2.96,9,1,25
82,11818,AYZ,Zahn's Airport,"-73.4, 40.71",US-NY,na,na,na,na
83,11862,HAE,Lava Falls Heliport,"-113.092002869, 36.191600799599996",US-AZ,na,na,na,na
84,11961,BKG,Branson Airport,"-93.200544, 36.532082",US-MO,na,na,na,0
85,11962,BCJ,Baca Grande Airfield,"-105.776666667, 37.964777777799995",US-CO,na,na,na,na
86,11966,ILL,Willmar Municipal -John L Rice Field,"-95.13040161, 45.11769867",US-MN,na,na,na,na
87,12215,BLW,Bellows AFS (Bellows Field),"-157.713889, 21.370833",US-HI,na,na,na,na
88,12221,BNF,Baranof Warm Springs Float and Seaplane Base,"-134.833146, 57.088799",US-AK,na,na,na,na
89,12243,BOF,Bolling Air Force Base,"-77.0160980225, 38.842899322499996",US-DC,na,na,na,na
90,12244,BOK,Brookings Airport,"-124.290001, 42.0746",US-OR,na,na,na,na
91,12250,BQV,Bartlett Cove Seaplane Base,"-135.884994507, 58.4552001953",US-AK,na,na,na,na
92,12548,BRG,Whitesburg Municipal Airport,"-82.8742, 37.2219",US-KY,na,na,na,na
93,12658,BYA,Boundary Airport,"-141.113006592, 64.0783004761",US-AK,na,na,na,na
94,12682,BZS,Buzzards Point Seaplane Base,"-77.011, 38.863",US-DC,na,na,na,na
95,14257,CGA,Craig Seaplane Base,"-133.1479949951172, 55.47880172729492",US-AK,na,na,na,na
96,14318,CHP,Circle Hot Springs Airport,"-144.610992432, 65.485496521",US-AK,na,na,na,na
97,14332,CIV,Chomley Seaplane Base,"-132.21, 55.217",US-AK,na,na,na,na
98,14468,CKD,Crooked Creek Airport,"-158.134994507, 61.8679008484",US-AK,na,na,na,na
99,14589,CKR,Crane Island Airstrip,"-122.9979, 48.5978",US-WA,na,na,na,na
100,14609,CKU,Cordova Municipal Airport,"-145.727005005, 60.5438995361",US-AK,na,na,na,na
101,14629,CKX,Chicken Airport,"-141.95199585, 64.0712966919",US-AK,na,na,na,na
102,14758,CLC,Clear Lake Metroport,"-95.1383, 29.5555",US-TX,na,na,na,na
103,14766,CLG,Coalinga Airport,"-120.360116959, 36.1580433385",US-CA,na,na,na,na
104,15762,EHT,Rentschler Heliport,"-72.6253, 41.7517",US-CT,na,na,na,na
105,15927,HLI,Hollister Municipal Airport,"-121.410003662, 36.8932991028",US-CA,na,na,na,na
106,15935,CVR,Hughes Airport,"-118.417, 33.975",US-CA,na,na,na,na
107,15954,CXC,Chitina Airport,"-144.427001953, 61.582901001",US-AK,na,na,na,na
108,16131,CYM,Chatham Seaplane Base,"-134.945999146, 57.5149002075",US-AK,na,na,na,na
109,16517,CZK,Cascade Locks State Airport,"-121.878997803, 45.6768989563",US-OR,na,na,na,na
110,16524,CZN,Chisana Airport,"-142.04800415, 62.0712013245",US-AK,na,na,na,na
111,16527,CZO,Chistochina Airport,"-144.669006348, 62.5634994507",US-AK,na,na,na,na
112,16564,DJN,Delta Junction Airport,"-145.716995239, 64.0503997803",US-AK,na,na,na,na
113,16671,DCK,Dahl Creek Airport,"-156.904998779, 66.9432983398",US-AK,na,na,na,na
114,16672,DCR,Decatur HI-Way Airfield,"-84.862464, 40.837548",US-IN,na,na,na,na
115,17183,DHB,Deer Harbor SPB,"-123.002777778, 48.6166666667",US-WA,na,na,na,na
116,17285,DPK,Deer Park Airport,"-73.31, 40.76",US-NY,na,na,na,na
117,17331,DWS,Lake Buena Vista STOLport,"-81.5712777778, 28.3994444444",US-FL,na,na,na,na
118,17531,EDA,Edna Bay Seaplane Base,"-133.661012, 55.949653",US-AK,na,na,na,na
119,19228,ESP,Birchwood-Pocono Airport,"-75.2521, 41.0643",US-PA,na,na,na,na
120,19377,EXI,Excursion Inlet Seaplane Base,"-135.449005, 58.420502",US-AK,na,na,na,na
121,19419,RGR,Ranger Municipal Airport,"-98.682800293, 32.4525985718",US-TX,na,na,na,na
122,19667,FAL,Falcon State Airport,"-99.13985, 26.5856",US-TX,na,na,na,na
123,20111,FEW,Francis E Warren Air Force Base,"-104.866996765, 41.1333007812",US-WY,na,na,na,na
124,20299,FLE,Fort Lee Army Airfield,"-77.3448, 37.284",US-VA,na,na,na,na
125,20358,FLT,Flat Airport,"-157.988998413, 62.452598571799996",US-AK,na,na,na,na
126,20914,FSN,Haley Army Airfield,"-87.817, 42.221",US-IL,na,na,na,na
127,21073,FXM,Flaxman Island Airstrip,"-146.0209, 70.1895",US-AK,na,na,na,na
128,21543,GAB,Gabbs Airport,"-117.958999634, 38.924098968500005",US-NV,na,na,na,na
129,22171,GFD,Pope Field,"-85.7360992432, 39.790298461899994",US-IN,na,na,na,na
130,22252,GNU,Goodnews Airport,"-161.57699585, 59.117401123",US-AK,na,na,na,na
131,22313,GMT,Granite Mountain Air Station,"-161.2810059, 65.40209961",US-AK,na,na,na,na
132,22363,GVE,Gordonsville Municipal Airport,"-78.165802002, 38.15599823",US-VA,na,na,na,na
133,22446,HAY,Haycock Airport,"-161.156997681, 65.20099639889999",US-AK,na,na,na,na
134,22546,HEY,Hanchey Army (Fort Rucker) Heliport,"-85.65429688, 31.34600067",US-AL,na,na,na,na
135,22547,HGT,Tusi AHP (Hunter Liggett) Heliport,"-121.2369995, 35.99349976",US-CA,na,na,na,na
136,22553,HPV,Princeville Airport,"-159.445999146, 22.209199905400002",US-HI,na,na,na,na
137,22559,WKL,Waikoloa Heliport,"-155.8607, 19.9205",US-HI,na,na,na,na
138,22596,HKB,Healy Lake Airport,"-144.6926, 63.9958",US-AK,na,na,na,na
139,22718,HNE,Tahneta Pass Airport,"-147.304000854, 61.901401519800004",US-AK,na,na,na,na
140,22720,HOP,Hoppe Airspray,"-92.835475, 42.257036",US-IA,na,na,na,na
141,22922,HYL,Hollis Clark Bay Seaplane Base,"-132.645996094, 55.4816017151",US-AK,na,na,na,na
142,24534,IVH,Ivishak Airport,"-148.2881, 69.4066",US-AK,na,na,na,na
143,24543,JLA,Quartz Creek Airport,"-149.718994141, 60.48270034789999",US-AK,na,na,na,na
144,24659,JPB,Pan Am Building Heliport,"-73.9765, 40.7533",US-NY,na,na,na,na
145,24660,JPN,Pentagon Army Heliport,"-77.0575027466, 38.8740997314",US-DC,na,na,na,na
146,24661,JRA,West 30th St. Heliport,"-74.007103, 40.754501",US-NY,na,na,na,na
147,24662,JRB,Downtown-Manhattan/Wall St Heliport,"-74.00900269, 40.70119858",US-NY,na,na,na,na
148,24707,AMK,Animas Air Park,"-107.869003296, 37.203201293899994",US-CO,na,na,na,na
149,24708,BDX,Broadus Airport,"-105.4540024, 45.47249985",US-MT,na,na,na,na
150,24727,EUE,Eureka Airport,"-116.004997253, 39.604198455799995",US-NV,na,na,na,na
151,24732,KPT,Jackpot Airport/Hayden Field,"-114.657997131, 41.97600173949999",US-NV,na,na,na,na
152,24733,RLA,Rolla Downtown Airport,"-91.8134994506836, 37.935699462890625",US-MO,na,na,na,na
153,24758,FID,Elizabeth Field,"-72.0316009521, 41.25130081179999",US-NY,na,na,na,na
154,24776,HUD,Humboldt Municipal Airport,"-94.2452011108, 42.736099243199995",US-IA,na,na,na,na
155,24797,TWD,Jefferson County International Airport,"-122.810997009, 48.0537986755",US-WA,na,na,na,na
156,24855,HCC,Columbia County Airport,"-73.7102966309, 42.2913017273",US-NY,na,na,na,na
157,24867,AHD,Ardmore Downtown Executive Airport,"-97.1227035522, 34.1469993591",US-OK,na,na,na,na
158,24873,GCW,Grand Canyon West Airport,"-113.816001892, 35.990398407",US-AZ,na,na,na,na
159,24902,CKE,Lampson Field,"-122.901000977, 38.9906005859",US-CA,na,na,na,na
160,24905,ROF,Montague-Yreka Rohrer Field,"-122.54599762, 41.7304000854",US-CA,na,na,na,na
161,24921,CNE,Fremont County Airport,"-105.106002808, 38.428001403799996",US-CO,na,na,na,na
162,24930,RSX,Rouses Point Seaplane Base,"-73.363502502441, 44.99169921875",US-NY,na,na,na,na
163,24939,COP,Cooperstown-Westville Airport,"-74.89099884030001, 42.6291999817",US-NY,na,na,na,na
164,24959,CIL,Council Airport,"-163.70300293, 64.89790344240001",US-AK,na,na,na,na
165,24976,IRB,Iraan Municipal Airport,"-101.891998291, 30.9057006836",US-TX,na,na,na,na
166,25005,GNF,Gansner Field,"-120.944999695, 39.943901062",US-CA,na,na,na,na
167,25020,CHZ,Chiloquin State Airport,"-121.879062653, 42.579440493",US-OR,na,na,na,na
168,25027,LTW,St. Mary's County Regional Airport,"-76.5501022339, 38.3153991699",US-MD,na,na,na,na
169,25055,AHF,Arapahoe Municipal Airport,"-99.90650177, 40.339500427199994",US-NE,na,na,na,na
170,25060,PCT,Princeton Airport,"-74.6588973999, 40.3992004395",US-NJ,na,na,na,na
171,25072,CTO,Calverton Executive Airpark,"-72.7919006348, 40.9151000977",US-NY,na,na,na,na
172,25119,NRI,Grand Lake Regional Airport,"-94.86190032959, 36.577598571777",US-OK,na,na,na,na
173,25127,GTP,Grants Pass Airport,"-123.388, 42.510101",US-OR,na,na,na,na
174,25132,NLE,Jerry Tyler Memorial Airport,"-86.225196838379, 41.835899353027",US-MI,na,na,na,na
175,25140,GCD,Grand Coulee Dam Airport,"-119.083000183, 47.922000885",US-WA,na,na,na,na
176,25145,VLE,Valle Airport,"-112.14800262451, 35.65060043335",US-AZ,na,na,na,na
177,25146,FPY,Perry-Foley Airport,"-83.58059692, 30.0692997",US-FL,na,na,na,na
178,25151,NTJ,Manti-Ephraim Airport,"-111.6149979, 39.32910156",US-UT,na,na,na,na
179,25166,SBO,Salina Gunnison Airport,"-111.837997437, 39.029098510699995",US-UT,na,na,na,na
180,25174,JVI,Central Jersey Regional Airport,"-74.59839630130001, 40.5243988037",US-NJ,na,na,na,na
181,25229,UCE,Eunice Airport,"-92.423797607422, 30.466299057007",US-LA,na,na,na,na
182,25231,GOL,Gold Beach Municipal Airport,"-124.4240036, 42.41339874",US-OR,na,na,na,na
183,25248,KKT,Kentland Municipal Airport,"-87.42819976810001, 40.7587013245",US-IN,na,na,na,na
184,25296,PRW,Prentice Airport,"-90.279297, 45.542999",US-WI,na,na,na,na
185,25308,EGP,Maverick County Memorial International Airport,"-100.512001, 28.85720062",US-TX,na,na,na,na
186,25323,BLD,Boulder City Municipal Airport,"-114.861000061, 35.9474983215",US-NV,na,na,na,na
187,25344,MFH,Mesquite Airport,"-114.0550003, 36.83499908",US-NV,na,na,na,na
188,25359,ECA,Iosco County Airport,"-83.422302, 44.312801",US-MI,na,na,na,na
189,25386,FMU,Florence Municipal Airport,"-124.111000061, 43.98279953",US-OR,na,na,na,na
190,25403,OTS,Anacortes Airport,"-122.662003, 48.499",US-WA,na,na,na,na
191,25404,ROL,Roosevelt Municipal Airport,"-110.051003, 40.278301",US-UT,na,na,na,na
192,25454,WPO,North Fork Valley Airport,"-107.646003723, 38.8316993713",US-CO,na,na,na,na
193,25465,ATE,Antlers Municipal Airport,"-95.6499023438, 34.1926002502",US-OK,na,na,na,na
194,25487,QWG,Wilgrove Air Park,"-80.67009735110001, 35.2137985229",US-NC,na,na,na,na
195,25570,ASQ,Austin Airport,"-117.194999695, 39.4679985046",US-NV,na,na,na,na
196,25589,AAF,Apalachicola Regional Airport,"-85.02749634, 29.72750092",US-FL,na,na,na,na
197,25591,AAP,Andrau Airpark,"-95.58830261230001, 29.722499847399998",US-TX,na,na,na,na
198,25594,ABE,Lehigh Valley International Airport,"-75.44080352783203, 40.652099609375",US-PA,4,4,4,1
199,25595,ABI,Abilene Regional Airport,"-99.68190002440001, 32.4113006592",US-TX,na,na,na,0
200,25596,ABQ,Albuquerque International Sunport Airport,"-106.609001, 35.040199",US-NM,1.6,3,1,10
201,25597,ABR,Aberdeen Regional Airport,"-98.42179870605469, 45.449100494384766",US-SD,na,na,na,0
202,25598,ABY,Southwest Georgia Regional Airport,"-84.19450378417969, 31.535499572753906",US-GA,2,2,2,1
203,25599,ACB,Antrim County Airport,"-85.198402, 44.988602",US-MI,na,na,na,na
204,25601,ACK,Nantucket Memorial Airport,"-70.06020355, 41.25310135",US-MA,na,na,na,0
205,25604,ACT,Waco Regional Airport,"-97.23049926757812, 31.611299514770508",US-TX,na,na,na,0
206,25605,ACV,Arcata Airport,"-124.10900115966797, 40.97809982299805",US-CA,na,na,na,0
207,25606,ACY,Atlantic City International Airport,"-74.57720184326172, 39.45759963989258",US-NJ,na,na,na,0
208,25609,ADG,Lenawee County Airport,"-84.07730102539999, 41.8676986694",US-MI,na,na,na,na
209,25610,ADT,Ada Regional Airport,"-96.671303, 34.804298",US-OK,na,na,na,na
210,25611,ADM,Ardmore Municipal Airport,"-97.0196342, 34.30301",US-OK,na,na,na,na
211,25612,ADS,Addison Airport,"-96.8364028931, 32.9686012268",US-TX,na,na,na,na
212,25615,ADW,Andrews Air Force Base,"-76.866997, 38.810799",US-MD,na,na,na,na
213,25616,KAE,Kake Seaplane Base,"-133.945999146, 56.9729995728",US-AK,na,na,na,na
214,25619,AEL,Albert Lea Municipal Airport,"-93.36720276, 43.68149948",US-MN,na,na,na,na
215,25620,AEX,Alexandria International Airport,"-92.54979705810547, 31.32740020751953",US-LA,na,na,na,0
