,iata_code,name,coordinates,iso_region
11392,ARX,Asbury Park Neptune Air Terminal,"-74.0908333333, 40.2193055556",US-NJ
11560,AUS,Austin Robert Mueller Municipal,"-97.6997852325, 30.2987223546",US-TX
11818,AYZ,Zahn's Airport,"-73.4, 40.71",US-NY
11862,HAE,Lava Falls Heliport,"-113.092002869, 36.191600799599996",US-AZ
11961,BKG,Branson Airport,"-93.200544, 36.532082",US-MO
11962,BCJ,Baca Grande Airfield,"-105.776666667, 37.964777777799995",US-CO
11966,ILL,Willmar Municipal -John L Rice Field,"-95.13040161, 45.11769867",US-MN
12215,BLW,Bellows AFS (Bellows Field),"-157.713889, 21.370833",US-HI
12221,BNF,Baranof Warm Springs Float and Seaplane Base,"-134.833146, 57.088799",US-AK
12243,BOF,Bolling Air Force Base,"-77.0160980225, 38.842899322499996",US-DC
12244,BOK,Brookings Airport,"-124.290001, 42.0746",US-OR
12250,BQV,Bartlett Cove Seaplane Base,"-135.884994507, 58.4552001953",US-AK
12548,BRG,Whitesburg Municipal Airport,"-82.8742, 37.2219",US-KY
12658,BYA,Boundary Airport,"-141.113006592, 64.0783004761",US-AK
12682,BZS,Buzzards Point Seaplane Base,"-77.011, 38.863",US-DC
14257,CGA,Craig Seaplane Base,"-133.1479949951172, 55.47880172729492",US-AK
14318,CHP,Circle Hot Springs Airport,"-144.610992432, 65.485496521",US-AK
14332,CIV,Chomley Seaplane Base,"-132.21, 55.217",US-AK
14468,CKD,Crooked Creek Airport,"-158.134994507, 61.8679008484",US-AK
14589,CKR,Crane Island Airstrip,"-122.9979, 48.5978",US-WA
14609,CKU,Cordova Municipal Airport,"-145.727005005, 60.5438995361",US-AK
14629,CKX,Chicken Airport,"-141.95199585, 64.0712966919",US-AK
14758,CLC,Clear Lake Metroport,"-95.1383, 29.5555",US-TX
14766,CLG,Coalinga Airport,"-120.360116959, 36.1580433385",US-CA
15762,EHT,Rentschler Heliport,"-72.6253, 41.7517",US-CT
15927,HLI,Hollister Municipal Airport,"-121.410003662, 36.8932991028",US-CA
15935,CVR,Hughes Airport,"-118.417, 33.975",US-CA
15954,CXC,Chitina Airport,"-144.427001953, 61.582901001",US-AK
16131,CYM,Chatham Seaplane Base,"-134.945999146, 57.5149002075",US-AK
16517,CZK,Cascade Locks State Airport,"-121.878997803, 45.6768989563",US-OR
16524,CZN,Chisana Airport,"-142.04800415, 62.0712013245",US-AK
16527,CZO,Chistochina Airport,"-144.669006348, 62.5634994507",US-AK
16564,DJN,Delta Junction Airport,"-145.716995239, 64.0503997803",US-AK
16671,DCK,Dahl Creek Airport,"-156.904998779, 66.9432983398",US-AK
16672,DCR,Decatur HI-Way Airfield,"-84.862464, 40.837548",US-IN
17183,DHB,Deer Harbor SPB,"-123.002777778, 48.6166666667",US-WA
17285,DPK,Deer Park Airport,"-73.31, 40.76",US-NY
17331,DWS,Lake Buena Vista STOLport,"-81.5712777778, 28.3994444444",US-FL
17531,EDA,Edna Bay Seaplane Base,"-133.661012, 55.949653",US-AK
19228,ESP,Birchwood-Pocono Airport,"-75.2521, 41.0643",US-PA
19377,EXI,Excursion Inlet Seaplane Base,"-135.449005, 58.420502",US-AK
19419,RGR,Ranger Municipal Airport,"-98.682800293, 32.4525985718",US-TX
19667,FAL,Falcon State Airport,"-99.13985, 26.5856",US-TX
20111,FEW,Francis E Warren Air Force Base,"-104.866996765, 41.1333007812",US-WY
20299,FLE,Fort Lee Army Airfield,"-77.3448, 37.284",US-VA
20358,FLT,Flat Airport,"-157.988998413, 62.452598571799996",US-AK
20914,FSN,Haley Army Airfield,"-87.817, 42.221",US-IL
21073,FXM,Flaxman Island Airstrip,"-146.0209, 70.1895",US-AK
21543,GAB,Gabbs Airport,"-117.958999634, 38.924098968500005",US-NV
22171,GFD,Pope Field,"-85.7360992432, 39.790298461899994",US-IN
22252,GNU,Goodnews Airport,"-161.57699585, 59.117401123",US-AK
22313,GMT,Granite Mountain Air Station,"-161.2810059, 65.40209961",US-AK
22363,GVE,Gordonsville Municipal Airport,"-78.165802002, 38.15599823",US-VA
22446,HAY,Haycock Airport,"-161.156997681, 65.20099639889999",US-AK
22546,HEY,Hanchey Army (Fort Rucker) Heliport,"-85.65429688, 31.34600067",US-AL
22547,HGT,Tusi AHP (Hunter Liggett) Heliport,"-121.2369995, 35.99349976",US-CA
22553,HPV,Princeville Airport,"-159.445999146, 22.209199905400002",US-HI
22559,WKL,Waikoloa Heliport,"-155.8607, 19.9205",US-HI
22596,HKB,Healy Lake Airport,"-144.6926, 63.9958",US-AK
22718,HNE,Tahneta Pass Airport,"-147.304000854, 61.901401519800004",US-AK
22720,HOP,Hoppe Airspray,"-92.835475, 42.257036",US-IA
22922,HYL,Hollis Clark Bay Seaplane Base,"-132.645996094, 55.4816017151",US-AK
24534,IVH,Ivishak Airport,"-148.2881, 69.4066",US-AK
24543,JLA,Quartz Creek Airport,"-149.718994141, 60.48270034789999",US-AK
24659,JPB,Pan Am Building Heliport,"-73.9765, 40.7533",US-NY
24660,JPN,Pentagon Army Heliport,"-77.0575027466, 38.8740997314",US-DC
24661,JRA,West 30th St. Heliport,"-74.007103, 40.754501",US-NY
24662,JRB,Downtown-Manhattan/Wall St Heliport,"-74.00900269, 40.70119858",US-NY
24707,AMK,Animas Air Park,"-107.869003296, 37.203201293899994",US-CO
24708,BDX,Broadus Airport,"-105.4540024, 45.47249985",US-MT
24727,EUE,Eureka Airport,"-116.004997253, 39.604198455799995",US-NV
24732,KPT,Jackpot Airport/Hayden Field,"-114.657997131, 41.97600173949999",US-NV
24733,RLA,Rolla Downtown Airport,"-91.8134994506836, 37.935699462890625",US-MO
24758,FID,Elizabeth Field,"-72.0316009521, 41.25130081179999",US-NY
24776,HUD,Humboldt Municipal Airport,"-94.2452011108, 42.736099243199995",US-IA
24797,TWD,Jefferson County International Airport,"-122.810997009, 48.0537986755",US-WA
24855,HCC,Columbia County Airport,"-73.7102966309, 42.2913017273",US-NY
24867,AHD,Ardmore Downtown Executive Airport,"-97.1227035522, 34.1469993591",US-OK
24873,GCW,Grand Canyon West Airport,"-113.816001892, 35.990398407",US-AZ
24902,CKE,Lampson Field,"-122.901000977, 38.9906005859",US-CA
24905,ROF,Montague-Yreka Rohrer Field,"-122.54599762, 41.7304000854",US-CA
24921,CNE,Fremont County Airport,"-105.106002808, 38.428001403799996",US-CO
24930,RSX,Rouses Point Seaplane Base,"-73.363502502441, 44.99169921875",US-NY
24939,COP,Cooperstown-Westville Airport,"-74.89099884030001, 42.6291999817",US-NY
24959,CIL,Council Airport,"-163.70300293, 64.89790344240001",US-AK
24976,IRB,Iraan Municipal Airport,"-101.891998291, 30.9057006836",US-TX
25005,GNF,Gansner Field,"-120.944999695, 39.943901062",US-CA
25020,CHZ,Chiloquin State Airport,"-121.879062653, 42.579440493",US-OR
25027,LTW,St. Mary's County Regional Airport,"-76.5501022339, 38.3153991699",US-MD
25055,AHF,Arapahoe Municipal Airport,"-99.90650177, 40.339500427199994",US-NE
25060,PCT,Princeton Airport,"-74.6588973999, 40.3992004395",US-NJ
25072,CTO,Calverton Executive Airpark,"-72.7919006348, 40.9151000977",US-NY
25119,NRI,Grand Lake Regional Airport,"-94.86190032959, 36.577598571777",US-OK
25127,GTP,Grants Pass Airport,"-123.388, 42.510101",US-OR
25132,NLE,Jerry Tyler Memorial Airport,"-86.225196838379, 41.835899353027",US-MI
25140,GCD,Grand Coulee Dam Airport,"-119.083000183, 47.922000885",US-WA
25145,VLE,Valle Airport,"-112.14800262451, 35.65060043335",US-AZ
25146,FPY,Perry-Foley Airport,"-83.58059692, 30.0692997",US-FL
25151,NTJ,Manti-Ephraim Airport,"-111.6149979, 39.32910156",US-UT
25166,SBO,Salina Gunnison Airport,"-111.837997437, 39.029098510699995",US-UT
25174,JVI,Central Jersey Regional Airport,"-74.59839630130001, 40.5243988037",US-NJ
25229,UCE,Eunice Airport,"-92.423797607422, 30.466299057007",US-LA
25231,GOL,Gold Beach Municipal Airport,"-124.4240036, 42.41339874",US-OR
25248,KKT,Kentland Municipal Airport,"-87.42819976810001, 40.7587013245",US-IN
25296,PRW,Prentice Airport,"-90.279297, 45.542999",US-WI
25308,EGP,Maverick County Memorial International Airport,"-100.512001, 28.85720062",US-TX
25323,BLD,Boulder City Municipal Airport,"-114.861000061, 35.9474983215",US-NV
25344,MFH,Mesquite Airport,"-114.0550003, 36.83499908",US-NV
25359,ECA,Iosco County Airport,"-83.422302, 44.312801",US-MI
25386,FMU,Florence Municipal Airport,"-124.111000061, 43.98279953",US-OR
25403,OTS,Anacortes Airport,"-122.662003, 48.499",US-WA
25404,ROL,Roosevelt Municipal Airport,"-110.051003, 40.278301",US-UT
25454,WPO,North Fork Valley Airport,"-107.646003723, 38.8316993713",US-CO
25465,ATE,Antlers Municipal Airport,"-95.6499023438, 34.1926002502",US-OK
25487,QWG,Wilgrove Air Park,"-80.67009735110001, 35.2137985229",US-NC
25570,ASQ,Austin Airport,"-117.194999695, 39.4679985046",US-NV
25589,AAF,Apalachicola Regional Airport,"-85.02749634, 29.72750092",US-FL
25591,AAP,Andrau Airpark,"-95.58830261230001, 29.722499847399998",US-TX
25594,ABE,Lehigh Valley International Airport,"-75.44080352783203, 40.652099609375",US-PA
25595,ABI,Abilene Regional Airport,"-99.68190002440001, 32.4113006592",US-TX
25596,ABQ,Albuquerque International Sunport Airport,"-106.609001, 35.040199",US-NM
25597,ABR,Aberdeen Regional Airport,"-98.42179870605469, 45.449100494384766",US-SD
25598,ABY,Southwest Georgia Regional Airport,"-84.19450378417969, 31.535499572753906",US-GA
25599,ACB,Antrim County Airport,"-85.198402, 44.988602",US-MI
25601,ACK,Nantucket Memorial Airport,"-70.06020355, 41.25310135",US-MA
25604,ACT,Waco Regional Airport,"-97.23049926757812, 31.611299514770508",US-TX
25605,ACV,Arcata Airport,"-124.10900115966797, 40.97809982299805",US-CA
25606,ACY,Atlantic City International Airport,"-74.57720184326172, 39.45759963989258",US-NJ
25609,ADG,Lenawee County Airport,"-84.07730102539999, 41.8676986694",US-MI
25610,ADT,Ada Regional Airport,"-96.671303, 34.804298",US-OK
25611,ADM,Ardmore Municipal Airport,"-97.0196342, 34.30301",US-OK
25612,ADS,Addison Airport,"-96.8364028931, 32.9686012268",US-TX
25615,ADW,Andrews Air Force Base,"-76.866997, 38.810799",US-MD
25616,KAE,Kake Seaplane Base,"-133.945999146, 56.9729995728",US-AK
25619,AEL,Albert Lea Municipal Airport,"-93.36720276, 43.68149948",US-MN
25620,AEX,Alexandria International Airport,"-92.54979705810547, 31.32740020751953",US-LA
25622,AFF,USAF Academy Airfield,"-104.8130035, 38.96969986",US-CO
25623,WSG,Washington County Airport,"-80.29019927979999, 40.1365013123",US-PA
25625,AFN,Jaffrey Airport Silver Ranch Airport,"-72.0029983521, 42.805099487300005",US-NH
25626,AFO,Afton Municipal Airport,"-110.942001343, 42.7112007141",US-WY
25628,AFW,Fort Worth Alliance Airport,"-97.31880187990001, 32.9875984192",US-TX
25629,AGC,Allegheny County Airport,"-79.9301986694336, 40.354400634765625",US-PA
25630,AGO,Magnolia Municipal Airport,"-93.21700287, 33.22800064",US-AR
25632,AGS,Augusta Regional At Bush Field,"-81.9645004272461, 33.36989974975586",US-GA
25634,AHC,Amedee Army Air Field,"-120.1529999, 40.26620102",US-CA
25635,AHH,Amery Municipal Airport,"-92.37539672850001, 45.2811012268",US-WI
25636,AHN,Athens Ben Epps Airport,"-83.32630157470703, 33.94860076904297",US-GA
25638,AIA,Alliance Municipal Airport,"-102.804000854, 42.0531997681",US-NE
25640,AID,Anderson Municipal Darlington Field,"-85.6129989624, 40.10860061649999",US-IN
25642,AIK,Aiken Municipal Airport,"-81.68499755859999, 33.6493988037",US-SC
25643,AIO,Atlantic Municipal Airport,"-95.04689789, 41.40729904",US-IA
25645,AIV,George Downer Airport,"-88.1978, 33.106499",US-AL
25646,AIY,Atlantic City Municipal Bader Field,"-74.4561004639, 39.3600006104",US-NJ
25647,AIZ,Lee C Fine Memorial Airport,"-92.54949951170002, 38.0960006714",US-MO
25654,AKO,Colorado Plains Regional Airport,"-103.222000122, 40.1755981445",US-CO
25656,AKC,Akron Fulton International Airport,"-81.4669036865, 41.0374984741",US-OH
25657,ALB,Albany International Airport,"-73.80169677734375, 42.74829864501953",US-NY
25658,ALI,Alice International Airport,"-98.02690124510002, 27.740900039699998",US-TX
25659,ALM,Alamogordo White Sands Regional Airport,"-105.990997314, 32.8399009705",US-NM
25660,ALN,St Louis Regional Airport,"-90.0459976196, 38.89030075069999",US-IL
25661,ALO,Waterloo Regional Airport,"-92.40029907226562, 42.557098388671875",US-IA
25662,ALS,San Luis Valley Regional Bergman Field,"-105.866997, 37.434898",US-CO
25663,ALW,Walla Walla Regional Airport,"-118.288002, 46.09489822",US-WA
25664,ALX,Thomas C Russell Field,"-85.9629974365, 32.914699554399995",US-AL
25665,AMA,Rick Husband Amarillo International Airport,"-101.706001, 35.219398",US-TX
25667,AMN,Gratiot Community Airport,"-84.68800354, 43.322101593",US-MI
25669,AMW,Ames Municipal Airport,"-93.621803, 41.992001",US-IA
25670,ANB,Anniston Metropolitan Airport,"-85.85810089, 33.58819962",US-AL
25671,AND,Anderson Regional Airport,"-82.70939636230001, 34.4945983887",US-SC
25674,SLT,Harriet Alexander Field,"-106.04900360107, 38.538299560547",US-CO
25675,ANP,Lee Airport,"-76.568398, 38.942902",US-MD
25676,ANQ,Tri State Steuben County Airport,"-85.083504, 41.639702",US-IN
25677,ANW,Ainsworth Municipal Airport,"-99.992996, 42.579201",US-NE
25678,ANY,Anthony Municipal Airport,"-98.079597, 37.158501",US-KS
25680,AOH,Lima Allen County Airport,"-84.026703, 40.706902",US-OH
25681,AOO,Altoona Blair County Airport,"-78.31999969, 40.29639816",US-PA
25683,APA,Centennial Airport,"-104.848999, 39.57009888",US-CO
25684,APC,Napa County Airport,"-122.280998, 38.2132",US-CA
25685,APF,Naples Municipal Airport,"-81.7752990723, 26.1525993347",US-FL
25686,APG,Phillips Army Air Field,"-76.1688, 39.466202",US-MD
25687,APH,A P Hill AAF (Fort A P Hill) Airport,"-77.318298, 38.068902",US-VA
25688,APN,Alpena County Regional Airport,"-83.56030273, 45.0780983",US-MI
25689,APT,Marion County Brown Field,"-85.585297, 35.060699",US-TN
25690,APV,Apple Valley Airport,"-117.185997009, 34.575298309299995",US-CA
25697,ARA,Acadiana Regional Airport,"-91.883904, 30.0378",US-LA
25698,ARB,Ann Arbor Municipal Airport,"-83.74559783939999, 42.2229995728",US-MI
25699,ARG,Walnut Ridge Regional Airport,"-90.925111, 36.124667",US-AR
25700,WHT,Wharton Regional Airport,"-96.1544036865, 29.254299163800003",US-TX
25701,AUZ,Aurora Municipal Airport,"-88.47570037839999, 41.771900177",US-IL
25702,ART,Watertown International Airport,"-76.02169799804688, 43.99190139770508",US-NY
25703,ARV,Lakeland-Noble F. Lee Memorial field,"-89.73090363, 45.92789841",US-WI
25704,BFT,Beaufort County Airport,"-80.6343994141, 32.4122009277",US-SC
25706,ASE,Aspen-Pitkin Co/Sardy Field,"-106.8690033, 39.22320175",US-CO
25707,SPZ,Springdale Municipal Airport,"-94.1193008423, 36.176399231",US-AR
25708,ASH,Boire Field,"-71.51480102539999, 42.7817001343",US-NH
25710,ASL,Harrison County Airport,"-94.307800293, 32.5205001831",US-TX
25711,ASN,Talladega Municipal Airport,"-86.05090332030001, 33.569900512699995",US-AL
25712,AST,Astoria Regional Airport,"-123.878997803, 46.158000946",US-OR
25714,ASX,John F Kennedy Memorial Airport,"-90.91899872, 46.54850006",US-WI
25715,ASY,Ashley Municipal Airport,"-99.3526000977, 46.0238990784",US-ND
25717,ATL,Hartsfield Jackson Atlanta International Airport,"-84.4281005859375, 33.63669967651367",US-GA
25718,ATS,Artesia Municipal Airport,"-104.468002319, 32.8525009155",US-NM
25719,ATW,Appleton International Airport,"-88.5190963745, 44.258098602299995",US-WI
25720,ATY,Watertown Regional Airport,"-97.15470123, 44.91400146",US-SD
25721,AUG,Augusta State Airport,"-69.7973022461, 44.320598602299995",US-ME
25723,AUM,Austin Municipal Airport,"-92.93340302, 43.66500092",US-MN
25724,AUN,Auburn Municipal Airport,"-121.0820007, 38.95479965",US-CA
25725,AUO,Auburn Opelika Robert G. Pitts Airport,"-85.43399811, 32.61510086",US-AL
25726,AUS,Austin Bergstrom International Airport,"-97.6698989868164, 30.194499969482422",US-TX
25727,AUW,Wausau Downtown Airport,"-89.6266021729, 44.9262008667",US-WI
25730,AVL,Asheville Regional Airport,"-82.54180145263672, 35.43619918823242",US-NC
25731,AVO,Avon Park Executive Airport,"-81.52780151, 27.59119987",US-FL
25732,AVP,Wilkes Barre Scranton International Airport,"-75.72339630130001, 41.338500976599995",US-PA
25733,AVW,Marana Regional Airport,"-111.218002319, 32.4095993042",US-AZ
25734,AVX,Catalina Airport,"-118.416, 33.4049",US-CA
25736,AWM,West Memphis Municipal Airport,"-90.2343978882, 35.1351013184",US-AR
25738,AXG,Algona Municipal Airport,"-94.2720031738, 43.0778999329",US-IA
25740,AXN,Chandler Field,"-95.39469909670001, 45.8662986755",US-MN
25742,AXS,Altus Quartz Mountain Regional Airport,"-99.3385, 34.697952",US-OK
25743,AXV,Neil Armstrong Airport,"-84.29889679, 40.49340057",US-OH
25744,AXX,Angel Fire Airport,"-105.290000916, 36.422000885",US-NM
25745,AYE,Ft Devens Moore Army Air Field,"-71.60279846191406, 42.56999969482422",US-MA
25746,AYS,Waycross Ware County Airport,"-82.39550018310001, 31.2490997314",US-GA
25747,TUH,Arnold Air Force Base,"-86.08580017, 35.39260101",US-TN
25750,AZO,Kalamazoo Battle Creek International Airport,"-85.5521011352539, 42.234901428222656",US-MI
25754,BAB,Beale Air Force Base,"-121.43699646, 39.136100769",US-CA
25755,BAD,Barksdale Air Force Base,"-93.6626968384, 32.5018005371",US-LA
25756,BAF,Westfield-Barnes Regional Airport,"-72.715599, 42.157799",US-MA
25757,CLU,Columbus Municipal Airport,"-85.8963012695, 39.2619018555",US-IN
25758,BAM,Battle Mountain Airport,"-116.874000549, 40.598999023400005",US-NV
25761,BBB,Benson Municipal Airport,"-95.6505966187, 45.331901550299996",US-MN
25762,BBD,Curtis Field,"-99.3238983154, 31.1793003082",US-TX
25763,BTN,Marlboro County Jetport H.E. Avent Field,"-79.73439789, 34.62170029",US-SC
25764,BBW,Broken Bow Municipal Airport,"-99.6421966553, 41.4365005493",US-NE
25765,BCB,Virginia Tech Montgomery Executive Airport,"-80.4077987671, 37.207599639899996",US-VA
25766,BCE,Bryce Canyon Airport,"-112.144996643, 37.706401825",US-UT
25768,BCT,Boca Raton Airport,"-80.1076965332, 26.3784999847",US-FL
25769,BDE,Baudette International Airport,"-94.612197876, 48.7284011841",US-MN
25770,BDG,Blanding Municipal Airport,"-109.4830017, 37.58330154",US-UT
25772,BDL,Bradley International Airport,"-72.68319702149999, 41.9388999939",US-CT
25775,BDR,Igor I Sikorsky Memorial Airport,"-73.1261978149414, 41.16350173950195",US-CT
25776,WBU,Boulder Municipal Airport,"-105.225997925, 40.0393981934",US-CO
25778,KBE,Bell Island Hot Springs Seaplane Base,"-131.572006226, 55.9291000366",US-AK
25780,BEC,Beech Factory Airport,"-97.21499633790002, 37.694499969499994",US-KS
25781,BED,Laurence G Hanscom Field,"-71.28900146, 42.47000122",US-MA
25782,BEH,Southwest Michigan Regional Airport,"-86.4284973145, 42.128601074200006",US-MI
25784,BFD,Bradford Regional Airport,"-78.64009857177734, 41.8031005859375",US-PA
25786,BFF,Western Neb. Rgnl/William B. Heilig Airport,"-103.5960007, 41.87400055",US-NE
25787,BFI,Boeing Field King County International Airport,"-122.302001953125, 47.529998779296875",US-WA
25789,BFL,Meadows Field,"-119.0569992, 35.43360138",US-CA
25790,BFM,Mobile Downtown Airport,"-88.06809997559999, 30.626800537100003",US-AL
25791,BFR,Virgil I Grissom Municipal Airport,"-86.44539642, 38.84000015",US-IN
25793,BGD,Hutchinson County Airport,"-101.393997192, 35.700901031499995",US-TX
25794,BGE,Decatur County Industrial Air Park,"-84.63739777, 30.9715004",US-GA
25796,BGM,Greater Binghamton/Edwin A Link field,"-75.97979736, 42.20869827",US-NY
25797,BGR,Bangor International Airport,"-68.8281021118164, 44.80739974975586",US-ME
25798,BHB,Hancock County-Bar Harbor Airport,"-68.3615036, 44.45000076",US-ME
25801,BHM,Birmingham-Shuttlesworth International Airport,"-86.75350189, 33.56290054",US-AL
25802,BID,Block Island State Airport,"-71.577796936, 41.1680984497",US-RI
25803,BIE,Beatrice Municipal Airport,"-96.75409698490002, 40.301300048799995",US-NE
25804,BIF,Biggs Army Air Field (Fort Bliss),"-106.3799973, 31.84950066",US-TX
25805,BIH,Eastern Sierra Regional Airport,"-118.363998413, 37.3731002808",US-CA
25807,BIL,Billings Logan International Airport,"-108.54299926757812, 45.807701110839844",US-MT
25808,BIS,Bismarck Municipal Airport,"-100.74600219726562, 46.772701263427734",US-ND
25810,BIX,Keesler Air Force Base,"-88.92440032959999, 30.4104003906",US-MS
25811,BJC,Rocky Mountain Metropolitan Airport,"-105.1169968, 39.90879822",US-CO
25812,BJI,Bemidji Regional Airport,"-94.93370056, 47.50939941",US-MN
25813,BJJ,Wayne County Airport,"-81.88829803470001, 40.874801635699995",US-OH
25814,BKD,Stephens County Airport,"-98.89099884030001, 32.71900177",US-TX
25815,BKE,Baker City Municipal Airport,"-117.808998108, 44.837299346900004",US-OR
